movie_id,original_title,primary_title,start_year,averagerating,numvotes,id,release_date,movie_title,production_budget,domestic_gross,worldwide_gross,gross_earnings
tt0249516,Foodfight!,Foodfight!,2012,1.9,8248,26,"Dec 31, 2012",Foodfight!,,,,
tt0326592,The Overnight,The Overnight,2010,7.5,24,21,"Jun 19, 2015",The Overnight,,,,
tt0337692,On the Road,On the Road,2012,6.1,37886,17,"Mar 22, 2013",On the Road,,,,
tt0359950,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,2013,7.3,275300,37,"Dec 25, 2013",The Secret Life of Walter Mitty,,,,
tt0365907,A Walk Among the Tombstones,A Walk Among the Tombstones,2014,6.5,105116,67,"Sep 19, 2014",A Walk Among the Tombstones,,,,
tt0369610,Jurassic World,Jurassic World,2015,7.0,539338,34,"Jun 12, 2015",Jurassic World,,,,
tt0376136,The Rum Diary,The Rum Diary,2011,6.2,94787,16,"Oct 28, 2011",The Rum Diary,,,,
tt0383010,The Three Stooges,The Three Stooges,2012,5.1,28570,4,"Apr 13, 2012",The Three Stooges,,,,
tt0393049,Anderson's Cross,Anderson's Cross,2010,5.5,106,65,"Dec 31, 2010",Anderson's Cross,,,,
tt0398286,Tangled,Tangled,2010,7.8,366366,15,"Nov 24, 2010",Tangled,,,,
tt0401729,John Carter,John Carter,2012,6.6,241792,14,"Mar 9, 2012",John Carter,,,,
tt0403935,Action Jackson,Action Jackson,2014,3.3,2862,8,"Feb 12, 1988",Action Jackson,,,,
tt0427152,Dinner for Schmucks,Dinner for Schmucks,2010,5.9,91546,51,"Jul 30, 2010",Dinner for Schmucks,,,,
tt0429493,The A-Team,The A-Team,2010,6.8,235256,32,"Jun 11, 2010",The A-Team,,,,
tt0431021,The Possession,The Possession,2012,5.9,53649,81,"Aug 31, 2012",The Possession,,,,
tt0433035,Real Steel,Real Steel,2011,7.1,283534,31,"Oct 7, 2011",Real Steel,,,,
tt0435651,The Giver,The Giver,2014,6.5,104999,2,"Aug 15, 2014",The Giver,,,,
tt0435761,Toy Story 3,Toy Story 3,2010,8.3,682218,47,"Jun 18, 2010",Toy Story 3,,,,
tt0436230,The Devil Inside,Mexican Devil,2010,6.7,34,12,"Jan 6, 2012",The Devil Inside,,,,
tt0437086,Alita: Battle Angel,Alita: Battle Angel,2019,7.5,88207,24,"Feb 14, 2019",Alita: Battle Angel,,,,
tt0443272,Lincoln,Lincoln,2012,7.4,228701,73,"Nov 9, 2012",Lincoln,,,,
tt0443465,Before We Go,Before We Go,2014,6.8,45181,52,"Sep 4, 2015",Before We Go,,,,
tt0443533,The History of Love,The History of Love,2016,6.3,1024,12,"Nov 18, 2016",The History of Love,,,,
tt0448115,Shazam!,Shazam!,2019,7.4,109051,97,"Apr 5, 2019",Shazam!,,,,
tt0448694,Puss in Boots,Puss in Boots,2011,6.6,133355,46,"Oct 28, 2011",Puss in Boots,,,,
tt0451279,Wonder Woman,Wonder Woman,2017,7.5,487527,55,"Jun 2, 2017",Wonder Woman,,,,
tt0453562,42,42,2013,7.5,77703,22,"Apr 12, 2013",42,,,,
tt0454876,Life of Pi,Life of Pi,2012,7.9,535836,88,"Nov 21, 2012",Life of Pi,,,,
tt0455407,The Crazies,The Crazies,2010,6.5,104465,36,"Feb 26, 2010",The Crazies,,,,
tt0455944,The Equalizer,The Equalizer,2014,7.2,302302,96,"Sep 26, 2014",The Equalizer,,,,
tt0458339,Captain America: The First Avenger,Captain America: The First Avenger,2011,6.9,668137,10,"Jul 22, 2011",Captain America: The First Avenger,,,,
tt0458481,Sin City: A Dame to Kill For,Sin City: A Dame to Kill For,2014,6.5,140666,16,"Aug 22, 2014",Sin City: A Dame to Kill For,,,,
tt0464054,House at the End of the Drive,House at the End of the Drive,2014,6.5,331,28,"Dec 31, 2014",House at the End of the Drive,,,,
tt0464154,Piranha 3D,Piranha 3D,2010,5.4,81327,52,"Aug 20, 2010",Piranha 3D,,,,
tt0466893,Margaret,Margaret,2011,6.5,14708,27,"Sep 30, 2011",Margaret,,,,
tt0470752,Ex Machina,Ex Machina,2014,7.7,424542,72,"Apr 10, 2015",Ex Machina,,,,
tt0471042,Tower Heist,Tower Heist,2011,6.2,125102,5,"Nov 4, 2011",Tower Heist,,,,
tt0472181,The Smurfs,The Smurfs,2011,5.5,77577,20,"Jul 29, 2011",The Smurfs,,,,
tt0472399,The Mechanic,The Mechanic,2011,6.6,141254,42,"Jan 28, 2011",The Mechanic,,,,
tt0475290,"Hail, Caesar!","Hail, Caesar!",2016,6.3,111422,22,"Feb 5, 2016","Hail, Caesar!",,,,
tt0477080,Unstoppable,Unstoppable,2010,6.8,173019,19,"Nov 12, 2010",Unstoppable,,,,
tt0478304,The Tree of Life,The Tree of Life,2011,6.8,156266,24,"May 27, 2011",The Tree of Life,,,,
tt0478970,Ant-Man,Ant-Man,2015,7.3,501213,43,"Jul 17, 2015",Ant-Man,,,,
tt0479997,Season of the Witch,Season of the Witch,2011,5.4,85777,89,"Jan 7, 2011",Season of the Witch,,,,
tt0480255,The Losers,The Losers,2010,6.4,83876,44,"Apr 23, 2010",The Losers,,,,
tt0480687,Hall Pass,Hall Pass,2011,5.9,113775,57,"Feb 25, 2011",Hall Pass,,,,
tt0481499,The Croods,The Croods,2013,7.2,176699,26,"Mar 22, 2013",The Croods,,,,
tt0482461,Barry Munday,Barry Munday,2010,5.9,3846,61,"Oct 1, 2010",Barry Munday,,,,
tt0485985,Red Tails,Red Tails,2012,5.9,31815,61,"Jan 20, 2012",Red Tails,,,,
